;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_OCC_desc;Мы владеем провинциями, на которые  Occitania имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RMG_title;Вернуть провинции Romagna;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RMG_desc;Мы владеем провинциями, на которые  Romagna имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SPC_title;Вернуть провинции Carlist Spain;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SPC_desc;Мы владеем провинциями, на которые  Carlist Spain имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SRD_title;Вернуть провинции Sardinia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SRD_desc;Мы владеем провинциями, на которые  Sardinia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SVY_title;Вернуть провинции Savoy;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SVY_desc;Мы владеем провинциями, на которые  Savoy имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SWH_title;Вернуть провинции Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SWH_desc;Мы владеем провинциями, на которые  Schleswig-Holstein имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WHA_title;Вернуть провинции Wales;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WHA_desc;Мы владеем провинциями, на которые  Wales имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DNB_title;Вернуть провинции Danubian Federation;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DNB_desc;Мы владеем провинциями, на которые  Danubian Federation имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUZ_title;Вернуть провинции Luzica;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUZ_desc;Мы владеем провинциями, на которые  Luzica имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RHI_title;Вернуть провинции Rhineland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RHI_desc;Мы владеем провинциями, на которые  Rhineland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PML_title;Вернуть провинции Pomerelia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PML_desc;Мы владеем провинциями, на которые  Pomerelia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PZN_title;Вернуть провинции Poznan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PZN_desc;Мы владеем провинциями, на которые  Poznan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SLS_title;Вернуть провинции Silesia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLS_desc;Мы владеем провинциями, на которые  Silesia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WES_title;Вернуть провинции Westfalen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WES_desc;Мы владеем провинциями, на которые  Westfalen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AKH_title;Вернуть провинции Astrakhan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AKH_desc;Мы владеем провинциями, на которые  Astrakhan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ALT_title;Вернуть провинции Altai Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALT_desc;Мы владеем провинциями, на которые  Altai Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
